,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
5981,,cord compression.|Participants,methotrexate.||-,,recovery,hepatic function||Total bilirubin,,,,predominantly,within 30 days prior to the first IP administration.|Exposure to prescribed,65 years or older.||,,,,,,
5982,,intra-cranial progression,ammonium acryloyldimethyltaurate/vp copolymer,,older|Self-identify,focal ablation,,,,HIV)-positive,within 7 days prior to enrollment,18.5 to 25.0 kg/m2||,,,,,,
5983,,physical activities,tramadol,,3.|Systemic arterial pO2,chest radiography,,,,hair,at the study site,between 18 and 75.|Confirmed,,,,,,
5984,,Breastfeeding|Cognitive impairment,total,,remnant bowel,left ventricular hypertrophy,,,,live-virus vaccination,in the past 12 months|Known,18-45|Diagnosis,,,,,,
5985,,extensive facial,Memantine,,arterial pH,Tmax>6s,,,,Primary Immune Deficiency Treatment Consortium,at least 4 weeks prior to start of AU409 administration,"< 12 points,|Obesity 3 degrees and above",,,,,,
5986,,M. tb infection,CTCAE ≤1,,anti-Hepatitis C Abs,Surgical sterilization,,,,therapy-associated symptoms,within 12 weeks prior to the,less than 40% of predicted,,,,,,
5987,,chronic autoimmune hepatic disorders,pimavanserin,,AFI,irreversible surgical sterilization by hysterectomy,,,,dietary regimen,post biopsy,18 ~ 45,,,,,,
5988,,included)||Definition of refractory:||No response,direct acting antiviral therapy,,QTc interval.|QTc interval,genotyping,,,,PD-L1 immuno-histochemistry (IHC),Index Men:||Identify,greater or equal to18 years|Outpatients|Patients,,,,,,
5989,,chronic intractable obsessive-compulsive disorder,yohimbe,,Grades,major head and neck,,,,Stage 1.5-,at the time of diagnosis|Multiple pancreatic nodules|Diagnosis,more than or equal to 1.7 mmol/l|High-density lipoprotein,,,,,,
5990,,virus replication,insulin prescription,,CMU,digital subtraction angiography,,,,specialized,within 7 days of C1D-7)|International Normalized Ratio (,≤ 30 days prior to the patient enrolment visit,,,,,,
5991,,genders|Presence,routine care.|Wards,,evaluated;|ECOG score,tumor surgical treatment,,,,pseudo-seizures,medical history,30-89||,,,,,,
5992,,deep submucosal,anti-depressents,,Ca,PET-CT already,,,,medical intervention;|The,at the time of random administration,from 18.5 to 30 kg/m2.||,,,,,,
5993,,child-bearing FFCD,hybrid closed-loop system.|Current use,,Gait function,rupture,,,,low grade histology).||,for at least > 1 month|Patients,>= 2 mg/dL,,,,,,
5994,,kinds of,drugs used in the study|Renal insufficiency|Liver failure-Neurological abnormalities,,diastolic blood,physiological melanin hyperpigmentation,,,,total hip replacement|informed,immediately prior therapy,2.5 X ULN,,,,,,
5995,,Eating disorder diagnosis|Pregnancy,monoclonal antibody/components of the study intervention,,severity score average,Combination therapy,,,,amenable* to biopsy,within last 30 days,≥20,,,,,,
5996,,END,phosphodiesterase inhibitors,,Tinnitus Functional Index.|Participant,Occupational therapy,,,,non-advanced,within 3 months up to,>120 ms,,,,,,
5997,,uterine adhesions,neuroendocrine features.|Prior therapy,,failed,local laboratory (IHC 3+,,,,preclude obtaining the informed consent,during the clinical trial period,form.|8 to 13 years,,,,,,
5998,,axial spondyloarthropathy,Lomitapide,,calculated by Cockcroft-Gault formula);|For,DH relief,,,,suitable for participating in this clinical study,at the time of signing the ICF.|Provision of a signed,greater than or equal to 10 percent|Plans,,,,,,
5999,,vaping,sodium chloride,,adult level,endoscopies,,,,"study.|Non-healing wound, ulcer",within the month prior to screening,-arrythmia -Linguistic,,,,,,
6000,,"rheumatoid arthritis,|Those",ecstasy,,thyroid-stimulating hormone (TSH ≤ 10,intra cranial tension.|Space occupying,,,,non-sustained,within 5 years of screening|Live,< 37 weeks,,,,,,
6001,,NTRK,hormonal patch,,facial skin,ovulation|Blastocyst embryo,,,,CNS-active,within 6 months from the screening period to the administration of the study drug|Have,between 12 and 18 years)|Diagnosis of CHD,,,,,,
6002,,antithrombotic therapy;|Significant anemia,ociperlimab,,Creatinine clearance rate CG,salpingo-oophorectomy,,,,IHS4,for at least 12 weeks.|No clinical treatment for neck pain,≥18 years.|Subject must provide written informed consent,,,,,,
6003,,Metastasis,cytostatic drugs,,Child-Pugh class,immunomodulatory treatment,,,,diaphragmatic,within the 6 months prior to the first dose of study drug,< 90 hypertension,,,,,,
6004,,hour;|Suffering,phenylcyclohexidine,,forced expiratory volume in first second (FEV1) / predicted value,lower grades,,,,neuroleptic,previous year.|A history,outside the reference ranges,,,,,,
6005,,pancreatic ductal,varespladib,,Diastolic blood pressure,first-line regimen containing immune checkpoint inhibitor therapy.|the best outcome,,,,metabolic kitchen,after the last dose of study treatment.|The participant,≥ 5%|Subjects enrolled,,,,,,
6006,,valve failure,contraceptive methods.|Metastatic malignant tumors,,pulse rate measurement,lipid-rich,,,,IMWG 2016 criteria,before undergoing valve replacement,≥40 mL / min,,,,,,
6007,,Willebrand's disease,closed reduction,,CD4 counts,completed,,,,suitable for study participation,prior to inclusion|Maternal pulmonary edema,≥ 90 g/L;|Platelet,,,,,,
6008,,Bleeding diathesis|Patient,procedural,,forced expiratory volume/forced vital capacity (FEV1/FVC),condoms.|Previous surgery,,,,cystectomy|Concomitant,for 4 months after stopping study treatment,< 50 pg/mL)||,,,,,,
6009,,chronic dermatological condition,Irinotecan,,system;|Acute suicidal,laparoscopic gynecological surgery.|Adults,,,,suitable to receive,for at least 30 days after the intervention|Patients eligible for microanastomosis,<=2.00D|BCVA >=0.8|Anisometropia <=1.50D|Confirmed to no use,,,,,,
6010,,Significant pain,neurotrophic tyrosine receptor kinase (NTRK),,procedure duration,coronary revascularization procedure,,,,≤6 months,within 6 months prior to enrollment|Interventional procedure,= 80,,,,,,
6011,,urinary tract infections.|Pregnant,tissue expander-,,nutrition program,teeth erupted,,,,meeting the clinical diagnostic criteria of,within 6 months prior to signing ICF,16 to 30,,,,,,
6012,,exacerbations,molnupiravir,,As:||Creatinine clearance,optimally,,,,long-term drug intervention,within 3 months prior to baseline.|Pregnant,≥1.5×109/L;|Hemoglobin,,,,,,
6013,,sleep disruptions)|alcohol,92228,,modified Cornell Medical index.|Non- smokers.||,whole-brain image,,,,pure organic,within 4 weeks of the first dose of study drug.|Known,<10g/dL);|Bone,,,,,,
6014,,vital sign measurements,CCS,,Assiut University Hospitals,Sponsor approval.||Dose Expansion,,,,Systemic signs of inflammation|B1: Fever|B2:,replacement;|More than 18 years,50-60,,,,,,
6015,,psychotic depression,medication related side effects,,Physical Activity,ICU)|Pulmonary artery catheter,,,,Oral,fatigue excluded,≥ 5)|age 18-80 years|provides,,,,,,
6016,,tumor|neurological disease,nicotine patch,,Sexually Transmitted Infection,receives,,,,Forty -Two patients,at time of screening.|Subject,>/= 4.|The patient,,,,,,
6017,,humoral dysfunction,methacholine,,absolute neutrophil value,femoral artery puncture site,,,,CP,at the time of menstruation,=< 4,,,,,,
6018,,farm,medications containing,,ABV,ileostomy,,,,anticipated,before the first dose of VTD-101 ointment,3.0 g/dL)|Serum,,,,,,
6019,,rigidity,thiazolidinedione,,LFT,liraglutide).|Gastroparesis|Low carbohydrate diet,,,,Under the care of a,in the past 4 weeks;|Any,above 8|Combined surgeries,,,,,,
6020,,congenital anomalies affecting,NVAF,,modified Ferriman-Gallway score,treatment of radiotherapy,,,,index procedure|Thrombophlebitis,hazardous,≤ 1.5 × ULN；|Color,,,,,,
6021,,pulmonary vein obstruction,ionic,,Agatston Score,coronary intervention.|3,,,,non-prescription medications,before starting,less than 30 ng/mL,,,,,,
6022,,gastrointestinal malignancy,CYP3A),,spatiotemporal asymmetry,treated by,,,,Gn-RH analogues,prior to the first refraction used to establish stability,≤ 1.|Sexually,,,,,,
6023,,major depressive episode|Patients,articaine,,hepatitis B virus antibody (HBcAb),radiographically,,,,L.1121-7,at a time during the first 6 months of the study,larger than 10 x10,,,,,,
6024,,sensorineural deafness,UTIs,,estimated glomerular filtration rate [eGFR]<45 mL/min,Hôpital Marie-Lannelongue,,,,margins of the resected specimen,at time of surgery,less than 18.5.|Relevant food,,,,,,
6025,,intracranial pathology;|Documented pulmonary hypertension;|Uncontrolled,GLP-1 agonist,,autoantibodies [GAD65,open surgical biopsy,,,,list ovarian,within 48 hours;|Stroke,6-15 mm|stones history,,,,,,
6026,,sensitive to the ingredients contained in the products|The test patient consents to the restorative treatment,bevacizumab,,MIC,Mental Health Brain Health Imaging Centre Guideline.|clinically relevant abnormality observed,,,,Article L. 1121-8,for less than one year prior to screening;|Inadequate supervision,> 8.0 g/,,,,,,
6027,,gynecologic organs,eyelids,,GCS,copy of the IRB/IEC-approved written,,,,inducer of cytochrome P450 (CYP) 3A4,within 90 days prior to screening.|Those,from equal to or greater than 12 years old to less than 18 years,,,,,,
6028,,schizoaffective illness,adequate organ,,measurement of systolic blood pressure,elective caesarean section.|Patients,,,,non-live,during the study.|Currently has a schedule that includes nighttime,at least 18.|In,,,,,,
6029,,complicated meckel's diverticulum||,PDE4 inhibitors,,International Classification of Disease Clinical Modification,liver biopsy,,,,AFE,at the time consent is obtained);|Histological or,6-33 summing,,,,,,
6030,,lymphocytic leukemia.|Other cancers,allogeneic tissue/organ transplantation,,Augusta University Institutional Review Board [AU IRB],valve intervention,,,,prophylactic use):||Blood routine,at time of initiating study treatment,≥ 18 years.|Absence,,,,,,
6031,,substance overuse,anticoagulant drug medication,,Section,instrumental swallowing assessment,,,,largest diameter of 3 cm|Child-Pugh liver function class,in the previous 4 weeks of surgery|Patients,> 18 years;|systemic health conditions,,,,,,
6032,,localized swelling,Lazertinib,,ventricular mass index,bone marrow transplant||,,,,radiofrequency.|Pregnant,for less than 12 months,> 10 mg,,,,,,
6033,,solid organ transplantation.|Any other disease,Psychotherapy,,Lung cancer-Asthma,real-time,,,,secondary spontaneous pneumothorax|Lung bullae,in the prior 4 weeks,between 18.5 and 35 kg/m2,,,,,,
6034,,neurologic issue,Apatinib mesylate,,resting heart rate,regiment of diabetes,,,,ancillary,less than 4,15 and higher,,,,,,
6035,,positivity by FISH,FP);||Adequate organ,,Pro S|Oncological condition|Positive HIV,Microsurgical technique,,,,potentially curative,at least 12 weeks before the date of implantation|At least 3 mm,< 350 cells/uL,,,,,,
6036,,depression.|Suffers,anti-diabetic medication).|Disorders of coagulation,,systolic,3）Myocardial infarction,,,,PE)|PE symptom duration,at the time of randomization;|Concomitant treatment,greater than 90 mmHg,,,,,,
6037,,Renal insufficiency,chocolate,,per consensus guidelines|Provision of informed consent,disease;|Secondary radiotherapy,,,,full escalation,within 14 days before first dose of study treatment:||Absolute neutrophil count (,at least 24 hours after resolution of,,,,,,
6038,,drugs;|Chronic diseases,passive antibody therapy specific to COVID-19,,with WHO grade IV,foam sclerotherapy,,,,secondary to other conditions (neoplasm,for the next 3 months,< 2.5 times the ULN,,,,,,
6039,,gastrointestinal bleeding.|Myocardial infarction,anti-inflammatory (,,635mg)|Baseline FEV1,gastric bleeding;|History,,,,derived,within the past two months.|are taking,≥ 1.0 × 109/L,,,,,,
6040,,Contact dermatitis,Molars,,Health Coaching Mental Health Screening Questionnaire score,TFE3 rearrangement renal cell carcinoma,,,,maximum diameter ≤ 3cm|ECOG-PS score,14 days prior to baseline,≤ 5 × upper limit of normal value (ULN),,,,,,
6041,,/reaction,congenital long QT syndrome.|Patients,,Kaiser Permanente Northern California (KPNC),head MRI)|DOC,,,,tolerate,during the 14 days prior to enrollment,<30 × 10^9/L||Warm,,,,,,
6042,,viii,immunosuppressants for,,Boston Bowel Preparation Score,M1|Mastectomy,,,,cytologically confirmed.|,within the past 4 weeks.|History,between 18 to 55 years,,,,,,
6043,,site;|Candidemia,study drug components,,ASA grade,maintenance haemodialysis,,,,large B cell lymphoma,at least 3 months' duration,<50%|QTc interval,,,,,,
6044,,poor oral hygiene,Nicotine gum,,months.|Best Corrected Visual Acuity,maximal CPET||Patients,,,,Eaton,within the last 12 months|Current,only)||Under 18 years,,,,,,
6045,,SKYTROFA,Metoclopramide,,score corrected for,special type diabetes|History of,,,,non-prescription supplements,6 months post-,> 40|Systemic therapy,,,,,,
6046,,"bpm],|110",platelet,,BARC,histological examination of the material obtained,,,,biopsy - persistent,"before jaundice onset,|AST>50 IU/L",> 35 pg/mL,,,,,,
6047,,chronic nasal obstruction,asprin,,alanine transaminase (ALT/SGPT,R1 resection,,,,abnormal,within 3 months of the start of the,ranges from 18-50 years,,,,,,
6048,,oligosecretory myeloma,mesalamine,,pathology containing neuro-endocrine differentiation,refractive surgery.|Down syndrome,,,,coronary arteries,at time of informed consent.|Patient,<= 1,,,,,,
6049,,surgically-corrected disease,direct oral,,Response Evaluation Criteria in Solid Tumors version 1.1 (RECIST 1.1),baseline CT scan,,,,secondary tricuspid regurgitation,within the preceding 3 months|Have,volunteer adult patient,,,,,,
6050,,superficial non-invasive bladder tumor,anti-rejection medication,,Cockroft-Gault formula).||,diabetes,,,,Dutch MEDPED,in his first month,below the lower reference limit).|Other condition,,,,,,
6051,,renal impairment||Glomerular filtration rate should,PDE inhibitors,,PR,conventional root canal treatment,,,,suitable for repeated,within 2 weeks prior to the first,"18-65,|Having",,,,,,
6052,,atrial septostomy,curcumin,,NSAIDs + opioid,AWV,,,,worse than usual,within 30 days prior to the first,=< 7 days prior to randomization)|Aspartate,,,,,,
6053,,hyposmia,cumulative number,,WHO criteria)|Normal,platelet inhibition therapy,,,,Adolescent Brain,during the study period|Readiness to exercise,18-70 years.|Clinical,,,,,,
6054,,primary lung disease,COVID-19 vaccine,,GSI-T score,donate sperm.|General good health,,,,non-Latino,at least 3 years previously,≥ 0.3×10^9/L,,,,,,
6055,,cutaneous Kaposi's,anti-cholinergic agents,,hemoglobin A1c (HbA1c),general anaesthetic,,,,intra-pleural injection,"after the ""Speckle Anthra"" study",≥ 3 × ULN|Prior,,,,,,
6056,,alleles,investigational medication,,education|Stable pharmacological treatment,intracoronary provocative test,,,,single-gene,within 3 months before randomization.|Subjects,> 18 kg/m2|Listed,,,,,,
6057,,month)|without swallowing disorders,rheumatoid arthritis|Receive,,right ventricular mechanical circulatory support,peripheral arterial intervention,,,,C;|Uncontrolled,within the previous 2 years|Receiving/prescribed,"<80,000/μL",,,,,,
6058,,"gastrointestinal (GI) disease that could affect the absorption, distribution, metabolism",lactose,,WPI,biopsy.|Kidney biopsy,,,,corticosterone,within 18 months,I-II status|Patients,,,,,,
6059,,cerebral vasculitis,molecular markers,,Baseline.|INR,SF3B1 mutation,,,,cumulative total,previously treated with redifferentiation agents,without,,,,,,
6060,,squamous cell cancer of the,contraindicated medications,,Fasting blood sugar levels,GBS,,,,Diagnostic criteria,during the day,20-60 years,,,,,,
6061,,hematencephalon,PEG,,bone marrow plasma cells,patients|Heart transplant,,,,non-prescription medication,at 24 months (±60 days,>= 0.01%,,,,,,
6062,,life expectancy|Pulmonary embolism,intravenous corticosteroids,,visual,first-line therapy.|imaging evaluation (CT or MRI,,,,radiologically stable.|History of,within 3 weeks before the first administration of the study drug,Score of 10 or higher,,,,,,
6063,,regular cold sores,confirmatory antibody-pattern,,Korean Mini-Mental Status Exam,Chemotherapy、radiotherapy,,,,face transplantation.|Aged,during the clinical study.|Use of,> 30 ml/min/1.73m2,,,,,,
6064,,hepato-renal echo,fish food,,coagulation profile,RAP)|Suspected,,,,IBS Quality of Life (,within past six months,> -2SD or >P10|Asymptomatic,,,,,,
6065,,CNV lesions,lineage,,definition: standard immunohistochemistry,Terminal state,,,,interventional requirements.|Be pregnant,within 30 days of screening|Participants,<300/mm3|Patients,,,,,,
6066,,mixed non-small cell,surgery.|Participant,,modified radical mastectomy||,treatment injection sites|Marked facial dermatochalasis,,,,critical by the doctor.|Person,while enrolled in the study,≥ 45 kg,,,,,,
6067,,allergic bronchopulmonary aspergillosis,MET amplification,,AIS score,Fragile X,,,,"might interfere with, the conduct of the study",at the time of enrolment.|Previous vaccination,>30% of predicted normal,,,,,,
6068,,chronic condition making,mesothelin,,Grad,confirmatory,,,,Thrombotic,within the past 4,<0.5 or >5.0 mU/L,,,,,,
6069,,Under court,Psychiatric Diseases|Drugs,,PRO,heart surgery,,,,160 smokers,during the past year|Presence or,≥ 18 years;|Participant,,,,,,
6070,,right sided,amphetamines,,National Eye Institute (NEI) scale,health examination,,,,topical use permitted)|Pregnancy,in the previous year|Hospitalisation,< 0.5 ml/kg/hr,,,,,,
6071,,fluorescence in situ hybridization +,migraine,,form|Bilateral hearing thresholds,small molecule inhibitor.|History of,,,,considered smokers,while on-study,≥12 weeks；|Eastern,,,,,,
6072,,facial nerve palsy,anti-cytokine therapies,,creatininemia,tubal sterilization,,,,self-application of vaginal products,at the time of Screening.|BMI,<8 g/dL,,,,,,
6073,,4L nasal cannula,anti-CD70 directed therapy,,hepatitis C disease,oral glucocorticoid therapy,,,,histological findings.|Male,in the upper limb;|central neurological lesion;|diagnosed psychosis,younger than 18 or older than 40,,,,,,
6074,,≥8;|thyroid dysfunction,anesthesia;|Pregnant,,Body Mass Index (BMI),nrTMS rehabilitation,,,,femoral head|Surgeon considers the patient appropriate for the core decompression procedure,during the study period.|Current,10/01/2013 to 09/30/2022)|At least 18 years,,,,,,
6075,,lichenifications,VF assessment,,HH.||Household Level Exclusion Criteria||HH,polymerase chain reaction (PCR) test results,,,,urethra,at least twice per year,≤ 2cm|Informed consent,,,,,,
6076,,alcohol abuse,parenteral glucocorticoids,,inpatient stay,12-lead ECG QTcB,,,,systemic AE therapy;|Patient,within 6 months after treatment,<70%,,,,,,
6077,,psychotherapy;|Allergy,intraprostatic calcifications,,Dehydrogenase B Deficiency,implant reconstruction,,,,obstructed,prior to treatment.|Participants,> 30||Having,,,,,,
6078,,Screening|Diabetes mellitus,Methamphetamines,,medication OFF,RAF fusion,,,,vessels|metallic cardiac valve(s)|a,after receipt of CD19-directed therapy.|Measurable,> 24 hours|Written informed consent,,,,,,
6079,,semi-professional athletes|Body Mass Index,diuretic agents,,EHS classification,age|Hospitalized,,,,incompletely treated TB,for at least 4 weeks prior to the screening visit,>30kg/m²)|chronic fatigue,,,,,,
6080,,moles.|Pregnant,semaglutide,,UWSF rate,traumatic amputation,,,,kinetic indicators,at time of recruitment,7-9,,,,,,
6081,,acute life-threatening bacterial,non steroidal anti-inflammatory drugs,,tumors|Eating disorders|History of,cytoreductive surgery,,,,AKs,except time to therapy)|Use,"> 1.40),|asymptomatic PAD",,,,,,
6082,,Cardiovascular instability Visual,monitoring modality,,prostate,suppressant medical therapies,,,,lumbar region and lower extremity,after at least 8 hours fasting)|Diagnosis of any other,19.0-30.0,,,,,,
6083,,amyotrophic lateral sclerosis)|Medical,Fridericia,,Ejection Fraction (EF),active treatment,,,,subcutaneous,within 4 weeks before randomization.|long-term,greater than or equal to 18 years|Undergoing,,,,,,
6084,,pyoderma,component of the formulation|Medication side effects,,Cough Peak Flow (CPF) measurement,TAVR procedure,,,,amenable to surgical,within the last 90 days prior to inclusion|Karnofsky index,5-year,,,,,,
6085,,localized squamous,agent targeting another stimulatory,,systolic blood pressure(SBP,copy of the Phe508del mutation.|Healthy volunteers,,,,allow remote interviewing|Medical,within 28days before starting bevacizumab,≥40 kg/m2.|Inability,,,,,,
6086,,TNEP,asthma medication,,Left Assist Ventricular Device (LVAD),ASMs;|Previous treatment,,,,forearm,within 3 months before the first dose,= 300,,,,,,
6087,,craniospinal disorders,small molecules,,refusal.|body mass index,gynecological examination||,,,,Danish University,prior to the first dose of study therapy;|20,from 17 to 22,,,,,,
6088,,Acute diarrhea,CRRT machine,,Cooperative Oncology Group (ECOG) Performance status,lactation;|Significant GI surgery,,,,AGH,within 3 weeks before enrollment|chemotherapy,18--99,,,,,,
6089,,Raynaud's syndrome,SFA,,HER2 testing guidelines|Is hormone receptor,combined anterior-posterior surgery,,,,at term,prior to study,less than 3 months experience,,,,,,
6090,,lenses|Diagnosis,citric acid monohydrate,,eligible).|Left ventricular ejection fraction,edentulous maxilla,,,,Gilbert,within the limit of normal.||9,18.0 to 40.0kg/m^2|The,,,,,,
6091,,arthroplasty,migraine drugs,,platelet function,ultrasonic window,,,,besides,for at least 12 consecutive months prior to screening,≥++ or 24-hour urine protein quantity,,,,,,
6092,,skin-sensitivity,drugs of similar chemical classes.|Participants,,anti-human immunodeficiency virus,bladder augmentation surgery,,,,uric acid,during the assessment,> 20|Other,,,,,,
6093,,impairment of level of consciousness,Fidaxomicin,,serum HDL-C,amputation surgery,,,,scars,within 24~48h have progressed significantly,60 mL/min,,,,,,
6094,,ophthalmologic disorder,components of QLF32101；|Have uncontrollable,,medium-high risk MDS,technical logistical personnel,,,,minimally invasive supracervical hysterectomy procedure,discontinued at least 2 weeks before first dose or five half-lives,below normal,,,,,,
6095,,atrial flutter,CTX,,NCI-CTCAE v4.02,complete periodontal treatment,,,,mid-face volume|Participant,within the prior 3 years|Estimated glomerular filtration rate,< 100,,,,,,
6096,,SUI,anti-GD2 monoclonal antibody therapy,,Urine Albumin Creatinine Ratio,disease|Assistive reproductive technology,,,,ankle pain.||,at the time of CKRT,> 24 in spite of treatment,,,,,,
6097,,haemodynamic instability,BTK inhibitor therapy for MCL,,liver enzyme values,STEP,,,,reproductive system|with reproductive system infection,within 3 months before the study);|Allergy to the,>150 min/week,,,,,,
6098,,tympanic,contraceptive use,,estimated survival,surgical repair,,,,prenatal care,within the last 3 months prior to screening.|Unable,3b - 5,,,,,,
6099,,knee-related,NOSES,,International Association of Pancreatology/American Pancreatic Association,treatment for alcohol,,,,Silent,within the previous year;|a current,0 or 1|Participants,,,,,,
6100,,malignant colorectal disease,HILT,,Sustained VT,lines of therapy.||Adequate organ function,,,,non-inclusion:||Chronic allergies|Neurological disorders|cardiovascular,either|HPV-negative status,18-29 kg/m 2,,,,,,
6101,,maculopathy|Active COVID-19 infection,B7,,walks,oral absorption of medications.|Patients,,,,ICD-10 codes F70-F79,last dose at least 6 months prior to study vaccine|Understands,≤ 55%);|Acute coronary,,,,,,
6102,,abnormalities of medical,SCA type STEMI,,ECOG physical fitness status score,hepatic impairment|Acute kidney injury,,,,non-adenomatous polyps,while on study drug,from 03 to 06 years,,,,,,
6103,,biliary tract disease,LPD,,prostate cryoablation|Major neurological conditions,maxillofacial surgery,,,,low risk of recurrence,at time of screening.|Has,"3,4)|Untreated periodontitis.|Poor oral hygiene",,,,,,
6104,,developmental dysplasia,warfarin,,atrium size,physiotherapeutic intervention,,,,saddle anesthesia,greater than 2cm,<0.05 Snellen|pregnancy|missing informed consent form,,,,,,
6105,,thrombus;|Uncontrolled heart failure,nurse,,calculatedb creatinine clearance (GFR can also be used in place of,arterial Yttrium therapy.|Is,,,,urinary bladder,within 24 hours prior to inclusion,≤ 88%.|Has,,,,,,
6106,,ventricular arrhythmia|Chronic oxygen,adequate organs,,gammaGT,therapeutic education program,,,,HIV)||Clinically significant,within 6 months prior to the Screening visit.|The use,> 2000 IU/mL,,,,,,
6107,,pubic symphysis diastasis,angiotensin II receptor blockers,,NP PCR test criteria.|Enroll,medical treatment,,,,following:||Idiopathic pulmonary fibrosis|Idiopathic nonspecific,within 4 weeks|Have,>= 2 first-degree relatives,,,,,,
6108,,Oklahoma,histamine containing gamma globulin preparations,,impairment,Age≥18years|Optimal medical therapy,,,,connective tissue diseases,at screening;|with the classification of KDIGO,< 220μmol/L;|Lung function,,,,,,
6109,,breast ductal carcinoma,component of the RO7247669,,hepatitis C antibody test,CERAB treatment,,,,suitable for long-term oral,during the whole research.||,"≥ 1,200/mm³|Platelet",,,,,,
6110,,liver abscesses,bisphosphonates,,RECIST version 1.1 (only applicable for phase 1b dose-expansion,baseline ECG,,,,Low-dose,within the last 12 months;|Organ transplantation,>3|Surgery,,,,,,
6111,,morphologic relapsed,Antidepressant Treatment,,National Institute on Aging-Alzheimer's Association (NIA-AA),MR antagonists,,,,could interfere with ERG execution;|For,discontinued,≥ 1.5*,,,,,,
6112,,HIV;|Pregnant,etc.)|Diabetes,,estimated value,bicuspid aortic valve,,,,endocrinopathies,currently,≥18 years.|Willing and able to consent to participate,,,,,,
6113,,HFNO|Sleep apnea syndrome,topical ophthalmic solution,,Unmarried|Age,"tomography,|Acute myocardial infarction",,,,treatment|Pre-existing,within 30 days prior to screening.||Exclusion criteria,">= 75,000/mm^3",,,,,,
6114,,isolated skin,ustekinumab,,Karnofsky,m2).|Creatinine clearance rate (CRCL):,,,,non-mechanical methods|Patient,at least 200mL post-bronchodilator,>18.|Subject,,,,,,
6115,,mobile device|medical condition,oral prednisone,,syphilis test positive;|Severe mental disorders,criterion.|Serious medical comorbidities,,,,rent,for 1 year after the last dose of study treatment.||Note,I-II||,,,,,,
6116,,COPD(chronic obstructive pulmonary disease,conventional laparoscopy,,consent.|Body mass index,complete incompetence in working with computers,,,,CLIA-certified,within the range of clinical acceptability in medical history,≥ 4.5 cm,,,,,,
6117,,Psoriatic ARthritis,etomidate,,women.||Body mass index,bone stock remains,,,,sedation,within 14 days before.|The previous,≥ 30 kg/m^2,,,,,,
6118,,liver impairment)|Cancer,Thyroid disease.|Drugs causing chronic diarrhea,,LA classification,stent are located,,,,suitable for intervention procedure;|Known hypersensitivity,within the past 6 months|known,≥ 4|Shoulder,,,,,,
6119,,spinal cord injury);|Patients,medications used in the postoperative course.|Either eye does not,,BIA,cranial CT,,,,first-degree relative of the Investigator.|The,within 30 days prior to screening.|Intake of an investigational drug in another trial within 30 days prior to screening.|Patient not able to understand,≥12 to <18 years,,,,,,
6120,,convulsive disorders,cabazitaxel,,alveolar bone height,radiologic procedures done,,,,Adjustable,photosensitivity|positive history,1-5 metastases,,,,,,
6121,,cardiovascular disorders.|Diabetic ketoacidosis,strabismus (exotropia or,,General,Duplex UltraSound,,,,breathing room air,within 1 month;|Without any,16 or younger 2- Biopsy specimens,,,,,,
6122,,localized prostate carcinoma,oral multivitamins,,irradiation,Inadequate control of hypertension,,,,nucleic,within 1 week of starting treatment.|Allergies,between 24,,,,,,
6123,,demonstrable liver metastases,landline,,Glomerular Filtration Rate),rigid contact lenses,,,,disorder|Post-traumatic stress,within 6 months prior to screening.|History of,130-180,,,,,,
6124,,lateral patellar dislocation,sunflower,,Neutrophil absolute value,e exposed,,,,extremely high,within 6 months before the first administration of clinical trial drugs.|Those,≥120 g/L.|SF,,,,,,
6125,,bradycardia,older|anti-HD-positive,,risk of fracture,restriction regimen,,,,topical form on the face,within the past 3 months.|Patient,125 mL,,,,,,
6126,,third-line,venetoclax,,prostate biopsy:||Suspicious prostate nodules,fresh tumor biopsy,,,,stable regimen deemed best,period of time after surgery|Patients,between 18 and 69 (inclusive) years,,,,,,
6127,,juvenile idiopathic arthritis,Ureteral calculus,,moya-moya disease,CNS -directed therapy,,,,Measurable,during the current depressive episode,greater than or equal to 4 times a day.|Must,,,,,,
6128,,Other,dehydroepiandrosterone,,poly-L-lactic acid,neurological surgery|Previous application of CIMT,,,,could interfere with treatment or understanding of the nature,one month after the end of the study.||,under 18|Inability to consent,,,,,,
6129,,RP,molecular confirmation,,rejection|ASA,"anticancer therapy|History of,",,,,acrylic related jobs||,in the limb.|Conditions that,18-30||,,,,,,
6130,,diplegia,local anesthetic allergy|Coagulative disorder|Corticosteroid,,Imaging showed peritoneal,Montreal Cognitive Assessment|able to read,,,,Teeth,72 hours prior to the first dosing,< 19 kg/m2.|History of,,,,,,
6131,,Alzheimer s disease,solubilize carfilzomib,,CSMC Echocardiography,assisted ventilation,,,,HIV.|History,within one month of study day 1,18 years and older|willing to avoid foods,,,,,,
6132,,cardiac disease.|Morbidly obese,platelet count|Provide informed consent||,,prostate cancer allowed.|Concomitant somatostatin analogs,Receipt of transfusion of blood products,,,,secondary symptoms).||,calcifications|More than 1 previous episode of,≤ 2.5 × institutional ULN.||Weight||The participant,,,,,,
